208	99.8	99.8	654.5	459.55	107.65	90.2125	621.6	538.8	592.75	0.825
210	545.3	99.8	679.1	519.15	104.325	62.1	522.2	459.9	615.575	0
211	718.3	99.8	656.5	337.2	77.825	84.5	608.4	542.4	630.5	0.825
213	704.8	99.8	617.4	443	91.125	71.2	549	341.25	603.075	1.65
215	99.8	99.8	513.9	383.75	97.725	97.7125	701	400	596.6	0
217	558.9	106.5	657.1	482.8	142.475	64.55	354.2	605.55	577.3	0.825
219	565.6	99.8	685.4	450.8	86.125	109.225	537.1	601.15	609.775	1.6625
221	725	0	739.3	268.1	165.45	57.125	437.3	607.75	598.4	514.3125
223	731.3	133	622.9	337.5	163.975	65.4	608.5	566.15	587.3	582.1
224	711.8	99.8	575.2	297.8	115.85	58.7875	622.2	609.1	592.6	0
226	665.4	106.4	631.8	287.8	120.85	85.275	588.4	585.65	402.45	0
228	385.9	106.4	581.8	334.2	195.325	79.5125	436.2	592.6	211.85	0
230	618.4	99.8	462.8	301.05	152.25	78.65	628.1	608.25	524.85	595.775
231	731.5	99.8	601.6	255.05	104.325	73.65	403.4	557.5	540.975	0
233	784.8	99.8	673.1	413.9	109.3	67.8625	389.6	506.6	548.875	0
234	758.5	99.8	628.3	291.5	163.9	117.5375	462.3	641.8	619.175	0
236	99.8	99.8	588.3	321	120.925	76.95	410	616.3	423.475	0.825
237	658	99.8	608.3	105.95	140.625	81.1375	324.7	589.25	600.7	0.825
239	598.6	99.8	606	96	120.875	80.2875	224.9	615.95	601.875	1.65
241	745.2	99.8	390.1	66.2	39.75	94.35	331.1	593	615.4	0
243	99.8	99.8	495.3	79.55	163.75	88.55	271.6	559.9	494.3	0
244	751.6	99.8	436.3	86.05	144.025	105.9125	225.3	575.7	555.75	0.825
246	658.2	99.8	396.3	145.75	135.7	92.75	53	558.6	574.8	1.65
247	585.4	99.8	317.7	152.15	145.75	113.35	46.4	592.5	596.275	0.825
249	725.2	106.5	211.7	192.1	145.675	105.2	33.1	546.15	598.925	0
251	585.2	99.8	212	43	188.775	102.65	72.8	601.45	566.9	0
253	778	99.8	158.8	86.15	144.075	105.9625	39.8	566.2	574.5	0.825
254	645	99.8	178.7	86.15	149.075	114.275	13.3	562.1	589.05	0
256	578.5	99.8	238.1	46.35	33.125	109.225	59.6	641.8	521.25	0
