Time	ejabberd-nolog-1	ejabberd-nolog-2	openfire-log-1	openfire-log-2	openfire-log-4	openfire-log-8	openfire-nolog-1	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
301	133	638.5	108.3	162.1	104.2	16.525	200	191.8	0	0
303	99.8	99.8	125.5	122.45	83.9	0.825	200	172.4	0	0
305	106.4	565.1	121.5	111.7	84.275	0.825	200	160.45	0	0.825
307	99.8	99.8	139.1	141.35	85.825	0	200	146.15	1.65	2.475
309	99.8	39.9	138.8	114.3	81.075	0	200	179.3	0	0.825
311	99.8	2.9	138.4	112.45	68.675	1.65	200	146.05	0	1.65
312	99.8	99.8	115.2	95.5	54.5	0	200	139.4	1.65	0
314	99.8	99.8	117.5	105.45	91.75	0	200	184.95	0	0.825
316	99.8	99.8	99.1	129.05	59.525	0.825	200	0	0	0.825
318	99.8	99.8	138.8	99.25	61.25	0.825	200	158.7	0	0.825
319	99.8	99.8	116.5	129.65	59.6	0	200	192.45	0	1.65
321	99.8	99.8	143.6	105.3	70.575	1.65	200	195.05	3.325	1.65
323	99.8	99.8	152.1	92.55	66.2	0	200	151.95	1.65	0.825
325	99.8	99.8	151	148.6	72.75	0	200	185.3	1.65	0.825
326	99.8	99.8	155.6	130.35	72.8	0	200	198.9	0	1.65
328	99.8	99.8	162.7	118.1	59.575	0	200	179.3	3.3	0.825
330	99.8	99.8	158.7	109	59.55	0.825	200	170.95	0	0
332	99.8	99.8	122.5	101.65	71.15	0	200	199.75	0	0
334	99.8	99.8	125.6	95.9	64.5	0.825	200	189.1	0	0.825
336	99.8	99.8	112.4	112.05	71.175	0	200	125.7	3.3	0
338	99.8	99.8	144.6	103.6	67.85	0	200	161.1	0	1.6375
340	99.8	99.8	145.2	74.75	62.475	1.65	200	119.05	1.6	0
342	99.8	99.8	129.3	101.3	72.2	0	200	125.1	0	0
344	106.4	106.4	152.1	82.7	71.225	0	200	143.9	1.65	0
346	99.8	99.8	152.1	130.85	79.375	1.65	200	145.55	0	0
348	99.8	8.5	125.4	105.1	72.25	0.825	200	102.55	0	1.65
350	99.8	99.8	99.3	105.5	71.075	0	200	125.7	0	0
352	99.8	99.8	143.7	115.85	58.725	0	200	115.35	0	0.825
354	99.7	99.7	165.2	111.7	71.05	0	200	94.85	0	1.65
356	99.8	0	156.9	105.8	59.575	1.65	200	109.3	0	0
358	99.8	6.7	145.5	117.85	65.65	0	200	115.8	0	0
360	99.8	20	146.6	133	76.125	0	200	89.45	1.65	0.825
362	99.8	0	123.9	108.5	67.975	0.825	200	115.85	0	0.825
364	99.8	0	145.6	106.6	59.575	0	200	91.95	1.65	0
366	99.8	6.7	125.6	95.25	66.125	0.825	200	109.2	1.65	0
368	99.8	0	109.1	99.3	54.5	0.825	200	99.3	0	0
370	99.8	0	152.1	148.3	65.375	0.825	200	118.95	0	1.65
372	99.8	99.8	141	121.8	67.65	1.65	200	86.15	0	0.825
374	99.8	99.8	132.3	110.85	61.25	0	200	102.55	1.65	0.825
376	99.8	0	113.9	89.3	66.025	0	200	95.4	0	0.825
378	99.8	59.9	118.8	82.75	59.575	0.825	200	91.55	1.65	0.825
380	106.4	99.8	151.7	102.25	65.975	0.825	200	98.3	0	0.825
382	99.7	99.8	134.4	112.45	69.25	0.825	200	108.3	0	0.825
384	99.8	99.8	125.6	105.65	59.575	0.825	200	92.65	0	0.825
385	99.8	99.8	112.4	112.05	59.55	0	200	109.4	0	0.825
387	106.5	106.5	131.6	100.9	72.875	0	200	88.75	0	0.825
389	99.8	99.8	156.8	118	67.75	0.825	200	99.25	0	0.825
391	99.8	99.8	140.6	101.3	62.925	0	200	112.5	0	0.825
393	99.8	106.5	150.6	95.9	71.1	0.825	200	115.75	0	0.825
394	106.5	106.5	147.7	82.7	59.55	0	200	89.45	0	0.825
396	99.8	99.8	125.5	147.85	1.65	0	200	102.4	1.65	0.825
397	99.8	0	115.8	105.1	0	0	200	92.65	1.65	0.825
399	99.8	133	126.7	105.8	1.65	0	200	0	1.65	0.825
401	99.8	99.8	109	105.75	0	0.825	200	3.3	1.65	0.825
403	99.8	99.8	158.6	105.4	0	0	200	0	1.65	0.825
404	99.8	106.4	141.8	105.7	0	0	200	0	1.65	0.825
406	99.8	99.8	145.5	105.8	0	0	200	0	1.65	0.825
407	99.8	99.8	157.3	88.55	0	0	200	0	1.65	0.825
409	99.8	99.8	137	95.8	0	0	200	0	1.65	0.825
410	99.8	99.8	103.4	119	0	0	200	3.3	1.65	0.825
412	99.8	99.8	105.3	115.75	0	0	200	0	1.65	0.825
414	99.8	99.8	162.3	104.9	0	0	200	0	1.65	0.825
416	99.8	99.8	137.7	99.15	3.3	0	200	0	1.65	0.825
418	99.8	99.8	119	121	0	0	200	0	1.65	0.825
419	93.1	99.8	139	122.45	1.65	0	200	0	1.65	0.825
421	99.8	99.8	131.5	111.7	0	0	200	0	1.65	0.825
423	99.8	99.8	121.8	115.5	0	0	200	0	1.65	0.825
425	99.8	106.5	125.2	109	0	0	200	3.3	1.65	0.825
426	99.8	99.8	152.1	112.4	0	0	200	6.6	1.65	0.825
428	99.8	106.5	138	118.1	0	0	200	0	1.65	0.825
430	99.8	99.8	130.2	115.05	0	0	200	0	1.65	0.825
431	99.8	99.8	157.6	105.65	0	0	200	0	1.65	0.825
433	99.8	99.8	147	101.7	0	0	200	0	1.65	0.825
435	99.8	99.8	161.2	81.7	0	0	200	0	1.65	0.825
437	106.5	106.5	156.9	95.6	1.65	0	200	6.65	1.65	0.825
438	99.8	99.8	110.9	108.55	0	0	200	0	1.65	0.825
