Time	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
446	23931.5	20092.5	14750.875
447	23931.5	20092.5	14779.5
448	23931.5	20092.5	14807.875
449	23931.5	20092.5	14807.875
450	23931.5	20092.5	14807.875
452	23931.5	20092.5	14807.875
453	23931.5	20092.5	14807.875
454	23931.5	20092.5	14807.875
455	23931.5	20092.5	14779.25
457	22191.5	20092.5	14779.25
458	22053	20092.5	14779.75
460	22053	20573.75	14807.875
462	22053	20436.75	14807.875
463	22053	20436.75	14807.875
464	22053	20436.75	14779.25
465	22053	20503.5	14779.25
467	22191.5	20435.75	14807.875
469	22191.5	20435.25	14807.875
471	21899.5	20435.25	14836.25
472	21899.5	20435.25	14836.25
473	21899.5	20435.25	14836.25
475	21899.5	20435.25	14864.875
476	22045	20435.25	14893.5
478	22045	20297.25	14836.5
479	22045	20295.25	14836.5
480	22045	20501.5	14836.5
481	22045	20501.5	14836.5
482	22045	20501.5	14807.875
484	22045	20501.5	14807.875
486	20633	20501.5	14807.875
487	20633	20501.5	14807.875
488	20633	20501.5	14807.875
490	20495.5	20501.5	14751.375
492	20495.5	20368.5	14723
494	20495.5	20368.5	14723
495	19431.5	20368.5	14723
497	18923.5	20368.5	14751.375
498	18923.5	20434.75	14780
499	18799	20434.75	14780
500	18799	20367	14780
502	20359	20367	14780
503	21487	20367	14780
504	21487	20367	14808.875
505	21487	20233	14780
507	21487	20233	14751.375
508	21487	20299.75	14751.375
510	21487	20299.75	14808.375
511	21487	20299.75	14808.375
512	21487	20299.75	14808.375
514	21487	20581.75	14808.375
515	21487	20716.75	14780
517	21351.5	20716.75	14780
518	21217	20785	14780
520	21217	20305.75	14723.25
521	21217	20235	14751.375
522	21217	20303.75	14723
524	21351.5	20303.75	14723
526	21351.5	20507	14723
528	21497	20507	14751.625
529	21497	20507	14779.75
530	21497	20507	14779.75
531	21351.5	20507	14751.625
532	21351.5	20507	14751.625
533	21351.5	20507	14780
534	21351.5	20507	14780
536	21351.5	20507	14808.125
537	21351.5	20507.25	14808.125
538	21351.5	20439.75	14780
539	21351.5	20510.5	14808.375
541	21351.5	20510.5	14808.375
543	21351.5	20510.5	14808.375
545	21351.5	20510.5	14808.375
546	21351.5	20510.5	14808.375
548	21351.5	20510.5	14808.375
549	21351.5	20510.5	14780
550	21351.5	20510.5	14751.875
551	21351.5	20510.5	14723.5
552	21351.5	20510.5	14723.5
554	21351.5	20510.5	14723.5
556	21351.5	20712.25	14723.5
557	21351.5	20712.25	14666.25
558	21351.5	20712.25	14666.25
560	21351.5	20712.25	14694.625
561	21351.5	20712.25	14694.625
562	21351.5	20712.25	14694.625
564	18527	21358	14694.125
566	18527	21211	14693.875
568	18527	21211	14750.625
570	18527	21211	14750.625
572	18527	21211	14750.625
573	18527	21211	14750.625
574	18527	20659.5	14750.625
576	18527	20659.5	14722.25
577	18403.5	20659.5	14722.25
578	18281	20726.25	14722.25
