Time	ejabberd-nolog-1	ejabberd-nolog-2	openfire-log-1	openfire-log-2	openfire-log-4	openfire-log-8	openfire-nolog-1	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
187	3	60.2	68.8	76.95	6.325	4.1	51.4	60.5	8.5	3.65
189	3	3	69.2	76.95	6.325	4.1375	52.3	61.65	7.075	3.675
191	5.2	5.2	82.9	71.55	6.625	4.125	52.3	62.6	10.225	3.675
192	5.6	5.6	69.8	71.7	11.1	4.1375	52.5	62.9	7.175	3.4
194	4.9	59.2	69.8	71.8	6.825	4.1625	52.7	63.3	7.2	3.4375
196	4.7	4.7	82.9	71.95	12.45	4.15	52.7	66.2	7.225	3.4375
198	7.3	7.3	70	72.15	7.2	4.15	53.3	68.4	7.35	3.475
200	6.1	6.1	70.2	72.5	7.35	4.125	53.4	68.75	7.525	3.4875
201	6.3	60.1	70.4	72.65	7.375	4.125	53.7	69.1	7.525	3.5
203	6.4	6.4	73	73.5	7.4	4.1	53.9	70.2	18.1	3.5125
205	6.8	6.8	73.8	73.9	7.475	4.1	53.9	71.95	19.45	3.5125
207	7.4	7.4	89.5	73.9	7.525	4.1375	53.9	72.3	7.625	3.5125
209	7.6	7.6	73.8	80.6	7.475	4.1625	54.8	72.6	21.875	3.5625
211	8.9	8.9	73.3	74.4	7.45	4.1625	55	72.8	7.775	3.5625
213	8.2	8.2	73.4	77.7	22.7	4.175	56.7	73.15	7.775	3.5625
215	61.1	8.4	73.9	79.2	7.625	4.225	55.6	73.6	24.025	3.8625
217	8.5	8.5	74.5	78.1	7.8	4.2375	56	73.55	8.075	3.9375
219	8.7	8.7	74.8	78.2	24.8	4.2125	56.6	73.95	8.2	3.95
221	8.8	8.8	75.1	78.65	8.225	4.2875	56.6	74.2	24.8	4.025
223	9.4	9.4	89.7	78.25	8.225	4.275	56.6	74.85	24.825	4
224	9.7	9.7	76.4	78.45	25.4	4.2875	56.7	75.55	8.175	3.675
226	10.5	10.5	76.8	78.4	8.4	4.3125	57	76.95	8.5	3.6875
228	11.4	11.4	90.1	78.8	8.35	4.375	57.2	77.15	9.075	3.6875
229	36.3	12	80.5	81.35	8.475	4.3875	58	77	25.025	3.6875
231	12.6	12.6	82.9	77	8.475	4.45	58.5	77.15	10.675	3.7375
233	14.3	14.3	82.9	77.05	8.7	4.5	58.8	77.35	12.45	3.7625
235	16.5	16.5	82.9	76.9	8.875	4.625	63.6	78.55	25.05	3.7625
237	17.8	17.8	82.9	76.95	8.925	4.675	63.8	78.6	14.875	3.75
239	20.6	20.6	82.9	76.95	9.225	4.8125	64.2	78.95	17.125	3.775
241	24	24	83.4	76.95	9.45	4.8375	65.7	77.3	18.1	3.7875
243	35.3	35.3	86.2	78.6	9.55	4.9875	65.7	76.95	19.15	3.8375
245	28.5	28.5	87	78.95	9.925	4.975	70	77.05	25.05	3.8375
247	32.1	32.1	87.8	79.4	27.425	5.05	70.1	77	25.05	3.825
249	35.7	35.7	89.5	76.95	10.35	5.15	70.1	77	22.35	3.9375
251	37.2	37.2	89.6	79.2	27.425	5.2	70.1	77.1	23.325	3.9125
253	40.7	40.7	89.6	79.15	27.575	5.2	70.1	77.2	24.025	3.9125
255	44.7	44.7	87.8	79.1	12.9	5.1875	74.2	77.3	24.375	3.9
257	35.3	35.3	89.6	79.1	13.975	5.3125	74.6	77.9	24.625	4
259	50.4	50.4	89.7	79.1	14.8	5.3125	74.8	78.95	24.8	3.9875
261	54.3	54.3	87	80.6	15.8	5.3	75.1	78.95	25.075	3.975
262	56.1	56.1	89.7	76.8	27.6	5.3	75.2	79	24.825	3.9
263	57.4	57.4	89.7	80.6	17.275	5.3125	75.5	79.05	25.075	3.975
265	58.7	58.7	89.7	76.8	18.65	5.2875	75.7	79.05	25.075	3.975
267	61.5	61.5	89.8	79.2	20.8	5.3	76.1	79.1	25.075	3.975
269	63	63	90.1	79.2	20.9	5.2875	79.4	81.15	25.025	3.9625
271	35.4	35.4	90.1	79.2	22.7	5.2875	79.4	81.15	25.025	3.95
273	64	64	89.9	76.8	27.75	5.275	79.4	81.2	25.025	3.95
275	65.6	65.6	89.9	79.15	24.7	5.2875	79.7	82.4	25.05	3.95
277	63.6	63.6	86.6	78.4	24.8	5.2875	79.9	83.7	25.05	3.95
279	62.6	62.6	88.9	76.4	25.2	5.275	82.5	83.9	25.05	3.925
281	66.6	66.6	88.9	78.3	25.4	5.2625	83.1	83.95	25.05	3.9
283	60.2	60.2	86.6	78.2	26.4	5.3	83.6	85.85	25.075	3.9125
285	56.3	56.3	88.7	76.4	26.55	5.3	87.9	85.95	25.05	3.925
287	51.6	51.6	88.7	77.75	27.875	5.2875	87.9	86.1	25.05	3.925
289	35.3	35.3	87.8	77.75	26.95	5.2875	87.9	86.15	25.075	3.9
291	45.3	45.3	87.8	76.4	27.9	5.2875	87.9	86.65	25.1	3.9125
293	44.8	44.8	87.8	76.4	27.875	5.3	87.9	79.3	25.1	3.9
295	44.3	44.3	87.8	77	27.3	5.325	87.9	79.3	25.05	3.9
297	44.9	44.9	87.8	76.4	27.875	5.375	87.9	79.3	25.05	3.9125
299	45.9	45.9	87	76.4	27.425	5.425	87.9	79.2	25.075	3.925
301	51.4	51.4	87	76.95	27.425	5.4625	87.9	79.2	25.075	3.925
302	51.5	51.5	87	76.8	27.425	5.4625	87.9	79.2	25.075	3.9125
303	51.7	31.3	87	76.4	27.875	5.4625	87.9	79.2	25.075	3.925
305	52.4	52.4	86	76.4	27.425	5.4625	87.9	79.2	25.075	3.925
307	31.2	31.2	87	76.8	27.425	5.4625	87.9	79.2	25.075	3.925
309	82.6	82.6	87	76.8	27.425	5.4625	87.9	77.95	25.075	3.925
311	86.3	86.3	86	76.8	27.575	5.4625	87.9	77.95	25.075	3.925
312	31.2	31.2	86.6	76.8	27.975	5.4625	87.9	77.95	25.075	3.925
314	31.2	31.2	86.6	76.8	27.575	5.4625	87.9	77.95	25.075	3.925
316	31.2	31.2	86	76.8	27.975	5.4625	87.9	77.95	25.075	3.925
318	31.2	31.2	86.6	76.8	27.6	5.4625	87.9	77.95	25.075	3.925
320	31.2	31.2	86.6	76.8	27.6	5.4625	87.9	75.3	25.075	3.925
321	31.2	31.2	86.6	76.8	27.6	5.4625	87.9	75.3	25.075	3.925
323	31.2	31.2	86.6	76	27.65	5.4625	87.9	75.3	25.075	3.925
324	31.2	31.2	86.6	76.8	27.75	5.4625	87.9	75.3	25.05	3.925
326	31.2	31.2	86.2	76.8	27.975	5.4625	87.9	74.9	25.075	3.925
328	31.2	31.2	86.7	76.35	27.975	5.4625	87.9	74.9	25.075	3.925
330	31.2	31.2	86.2	76.35	27.75	5.4625	87.9	75.2	25.05	3.925
332	86.3	31.2	86.2	76.4	27.775	5.4625	87.9	74.95	25.075	3.925
334	31.2	31.2	86.2	76.4	27.775	5.4625	87.9	74.9	25.075	3.925
336	31.2	31.2	86.2	76	27.775	5.4625	87.9	74.9	25.075	3.925
338	31.2	31.2	88.1	76.4	27.875	5.4625	87.9	74.9	25.075	3.925
340	31.2	31.1	86.2	76.4	27.875	5.4625	87.9	74.9	25.075	3.925
342	31.1	31.1	86	76	27.875	5.4625	87.9	74.9	25.075	3.925
344	31.1	31.1	88.1	76	27.875	5.4625	87.9	74.9	25.05	3.925
346	31.1	86.7	86	76.4	27.9	5.4625	87.9	74.95	25.075	3.925
348	87.1	87.1	86	75.65	27.9	5.4625	87.9	75	25.075	3.925
350	31.1	31.1	86	75.65	27.875	5.4625	87.9	75	25.075	3.925
352	31.1	31.1	86	76.4	27.875	5.4625	87.9	75	25.075	3.925
354	85	31.1	86	75.65	27.875	5.4625	87.9	75	25.05	3.925
356	85	85	86	75.55	27.875	5.4625	87.9	75	25.05	3.925
357	31.1	31.1	86	76.4	27.875	5.4625	87.9	75	25.05	3.925
359	85.1	85.1	86	76.4	27.875	5.4625	87.9	75	25.05	3.925
361	85.3	85.3	86	75.55	27.875	5.4625	87.9	75	25.05	3.925
362	61.7	61.7	86	76.4	27.875	5.4625	87.9	75	25.05	3.925
364	61.3	61.3	86.7	76	27.975	5.4625	87.9	75	25.05	3.925
366	60.2	60.2	88.9	76	27.975	5.4625	87.9	75	25.05	3.925
368	60.1	60.1	86.7	76	27.975	5.4625	87.9	75	25.05	3.925
370	59.4	59.4	86.7	76	27.975	5.4625	87.9	75	25.05	3.925
371	59.2	59.2	86.7	76	27.975	5.4625	87.9	75	25.05	3.925
373	59.2	59.2	87.5	75.6	27.975	5.4625	87.9	75	25.05	3.925
375	59.1	59.1	87.5	76	27.975	5.4625	87.9	75	25.05	3.925
377	59.7	59.7	88.9	76	27.975	5.4625	87.9	75	25.05	3.925
379	31.1	31.1	87.5	75.3	28.05	5.4625	87.9	75	25.05	3.925
381	60.1	60.1	88.1	76	27.975	5.4625	87.9	75	25.05	3.925
383	60.5	60.5	88.9	76	27.975	5.4625	87.9	75	25.05	3.925
385	60.5	60.5	88.1	75	27.975	5.4625	87.9	75	25.05	3.925
387	31.1	31.1	88.1	76	27.975	5.4625	87.9	75	25.05	3.925
389	60.7	60.7	88.5	76	27.975	5.4625	87.9	75	25.05	3.925
391	61	61	88.5	75	27.975	5.4625	87.9	75	25.05	3.925
392	61.1	61.1	88.5	76	28.05	5.4625	87.9	75	25.05	3.925
394	31.1	31.1	89	76	28.05	5.4625	87.9	75	25.05	3.925
395	61.1	61.1	88.5	76	28.05	5.4625	87.9	75	25.05	3.925
397	55	55	88.8	75	28.05	5.4625	87.9	75	25.05	3.925
399	37.4	37.4	88.8	76	28.05	5.4625	87.9	75	25.05	3.925
401	31.2	31.2	88.8	75.65	28.05	5.4625	87.9	75	25.05	3.925
403	36.8	36.8	88.8	75.65	28.05	5.4625	87.9	75	25.05	3.925
404	36.7	36.7	88.8	75	28.05	5.4625	87.9	75	25.05	3.925
405	36.6	36.6	88.9	75.65	28.05	5.4625	87.9	75	25.05	3.925
406	36.4	36.4	89	75.65	28.05	5.4625	87.9	75	25.05	3.925
407	36.3	36.3	88.9	75.55	28.05	5.4625	87.9	75	25.05	3.925
408	31.2	31.2	88.9	75.55	28.05	5.4625	87.9	75	25.05	3.925
410	35.7	35.7	88.9	74.55	28.05	5.4625	87.9	75	25.05	3.925
411	35.6	35.6	88.9	75.55	28.05	5.4625	87.9	75	25.05	3.925
412	35.5	35.5	89	75.55	28.05	5.4625	87.9	75	25.05	3.925
414	35.3	35.3	88.9	75.55	28.05	5.4625	87.9	75	25.05	3.925
415	35.3	35.3	88.9	75.65	28.05	5.4625	87.9	75	25.05	3.925
417	35.3	35.3	89.1	75.65	28.05	5.4625	87.9	75	25.05	3.925
418	35.3	35.3	88.9	75.6	28.05	5.4625	87.9	75	25.05	3.925
419	35.3	35.3	88.9	75.6	28.05	5.4625	87.9	75	25.05	3.925
421	35.3	35.3	88.9	75.6	28.05	5.4625	87.9	75	25.05	3.925
422	35.3	35.3	88.9	74.55	28.05	5.4625	87.9	75	25.05	3.925
424	35.3	35.3	88.9	75.6	28.05	5.4625	87.9	75	25.05	3.925
425	35.3	35.3	88.9	75.6	28.05	5.4625	87.9	75	25.05	3.925
426	35.3	35.3	88.9	75.3	28.05	5.4625	87.9	75	25.05	3.925
428	35.3	35.3	89.7	74.55	28.05	5.4625	87.9	75	25.05	3.925
429	35.3	35.3	88.9	75.3	28.05	5.4625	87.9	75	25.05	3.925
431	35.3	35.3	88.9	75.3	28.05	5.4625	87.9	75	25.05	3.925
433	35.3	35.3	89	75	28.05	5.4625	87.9	75	25.05	3.925
435	35.3	35.3	89	74.55	28.05	5.4625	87.9	75	25.05	3.925
437	31.2	31.2	89	75	28.05	5.4625	87.9	75	25.05	3.925
438	35.3	35.3	89	75	28.05	5.4625	87.9	75	25.05	3.925
440	35.3	35.3	90.8	75	28.05	5.4625	87.9	75	25.05	3.925
441	35.3	35.3	89	74.4	28.05	5.4625	87.9	75	25.05	3.925
442	35.3	35.3	89	75	28.05	5.4625	87.9	75	25.05	3.925
444	35.4	35.4	89	75	28.05	5.4625	87.9	75	25.05	3.925
445	31.2	31.2	90.8	75	28.05	5.4625	87.9	75	25.05	3.925
447	35.4	35.4	89	74.05	28.05	5.4625	87.9	75	25.05	3.925
448	35.4	35.4	89	75	28.05	5.4625	87.9	75	25.05	3.925
449	35.4	35.4	89	75	28.05	5.4625	87.9	75	25.05	3.925
451	35.4	35.4	90.8	75	28.05	5.4625	87.9	75	25.05	3.925
452	31.2	31.2	89	75	28.05	5.4625	87.9	75	25.05	3.925
454	35.4	35.4	89	75	28.05	5.4625	87.9	75	25.05	3.925
455	35.4	35.4	89.1	74.05	28.05	5.4625	87.9	75	25.05	3.925
456	35.4	35.4	89.1	75	28.05	5.4625	87.9	75	25.05	3.925
458	35.3	35.3	89.1	75	28.05	5.4625	87.9	75	25.05	3.925
459	31.2	31.2	89.1	74.55	28.05	5.4625	87.9	75	25.05	3.925
461	35.3	35.3	89.7	74.05	28.05	5.4625	87.9	75	25.05	3.925
462	35.3	35.3	89.7	74.55	28.05	5.4625	87.9	75	25.05	3.925
463	35.3	35.3	91.9	74.55	28.05	5.4625	87.9	75	25.05	3.925
465	35.3	35.3	89.7	74.55	28.05	5.4625	87.9	75	25.05	3.925
467	35.3	35.3	89.7	74.55	28.05	5.4625	87.9	75	25.05	3.925
469	35.3	35.3	92	74.55	28.05	5.4625	87.9	75	25.05	3.925
470	35.3	35.3	89.7	74.55	28.05	5.4625	87.9	75	25.05	3.925
472	35.3	35.3	89.7	73.95	28.05	5.4625	87.9	75	25.05	3.925
474	31.2	31.2	89.7	74.55	28.05	5.4625	87.9	75	25.05	3.925
475	35.3	35.3	92	74.55	28.05	5.4625	87.9	75	25.05	3.925
476	35.3	35.3	89.7	74.55	28.05	5.4625	87.9	75	25.05	3.925
477	31.5	31.5	89.7	74.55	28.05	5.4625	87.9	75	25.05	3.925
479	31.3	31.3	90.8	74.55	28.05	5.4625	87.9	75	25.05	3.925
481	31.2	31.2	90.8	74.55	28.05	5.4625	87.9	75	25.05	3.925
482	31.3	31.3	90.8	74.55	28.05	5.4625	87.9	75	25.05	3.925
483	31.2	31.2	90.8	74.55	28.05	5.4625	87.9	75	25.05	3.925
484	31.2	31.2	90.8	74.55	28.05	5.4625	87.9	75	25.05	3.925
486	31.2	31.2	92.6	74.55	28.05	5.4625	87.9	75	25.05	3.925
488	31.2	31.2	90.8	74.4	28.05	5.4625	87.9	75	25.05	3.925
489	31.2	31.2	90.8	74.4	28.05	5.4625	87.9	75	25.05	3.925
490	31.2	31.2	90.8	74.4	28.05	5.4625	87.9	75	25.05	3.925
491	31.2	31.2	92.6	73.65	28.05	5.4625	87.9	75	25.05	3.925
492	31.2	31.2	90.8	74.4	28.05	5.4625	87.9	75	25.05	3.925
493	31.2	31.2	90.8	74.4	28.05	5.4625	87.9	75	25.05	3.925
494	31.2	31.2	90.8	74.4	28.05	5.4625	87.9	75	25.05	3.925
495	31.2	31.2	90.8	74.4	28.05	5.4625	87.9	75	25.05	3.925
496	31.2	31.2	90.8	74.05	28.05	5.4625	87.9	75	25.05	3.925
497	31.2	31.2	92.9	74.05	28.05	5.4625	87.9	75	25.05	3.925
498	31.2	31.2	91.9	73.65	28.05	5.4625	87.9	75	25.05	3.925
499	31.2	31.2	91.9	74.05	28.05	5.4625	87.9	75	25.05	3.925
500	31.2	31.2	91.9	74.05	28.05	5.4625	87.9	75	25.05	3.925
501	31.2	31.2	91.9	74.05	28.05	5.4625	87.9	75	25.05	3.925
502	31.2	31.2	91.9	74.05	28.05	5.4625	87.9	75	25.05	3.925
503	31.2	31.2	92.9	74.05	28.05	5.4625	87.9	75	25.05	3.925
504	31.2	31.2	91.9	73.65	28.05	5.4625	87.9	75	25.05	3.925
